--- Kapı Düğümleri ---
ID: DeriVeZühreviKapı, x=269.90, y=180.25
ID: isimsiz_koridorlar_dugumu_37, x=576.10, y=369.30
ID: isimsiz_koridorlar_dugumu_38, x=576.20, y=447.50
ID: isimsiz_koridorlar_dugumu_39, x=606.90, y=377.60
ID: isimsiz_koridorlar_dugumu_40, x=586.90, y=377.90
ID: isimsiz_koridorlar_dugumu_41, x=670.50, y=417.40
ID: isimsiz_koridorlar_dugumu_42, x=633.20, y=388.10
ID: isimsiz_koridorlar_dugumu_43, x=616.80, y=352.50
ID: isimsiz_koridorlar_dugumu_44, x=619.40, y=308.20
ID: isimsiz_koridorlar_dugumu_45, x=560.20, y=329.20

--- Oda Düğümleri ---
ID: iade_ve_rasyon, x=633.60, y=441.90
ID: beslenme_ve_diyet, x=663.20, y=441.90
ID: saymanlık, x=645.60, y=373.10
ID: vezne, x=638.30, y=350.20
ID: hemşire_odası, x=445.30, y=299.10
ID: genel_dahiliye_poliklinik_1, x=522.80, y=279.40
ID: genel_dahiliye_pol_2, x=524.10, y=268.30
ID: romatoloji_pol_4, x=522.80, y=239.80
ID: romatoloji_pol_4_00000062886636603909212650000015625272501870228883_, x=523.80, y=224.80
ID: gastroentereloji_pol_14, x=462.00, y=238.10
ID: gastroentereloji_pol_13, x=463.00, y=224.80
ID: diyabet_eğitim_odası, x=562.60, y=210.80
ID: test_odası, x=540.50, y=186.70
ID: immunoloji_ve_alerji_pol_7, x=512.60, y=198.00
ID: nerfoloji_böbrek_hastalıkları_ve_hipertansiyon_pol_9, x=484.80, y=199.20
ID: genel_dahiliye_pol_11, x=459.50, y=199.50
ID: genel_dahiliye_pol_12, x=444.10, y=199.40
ID: kardiyoloji_muayne_odası_1, x=432.60, y=290.40
ID: periferik_damar_cerrahisi_pol_15, x=295.40, y=310.90
ID: genel_cerrahi_pol_13, x=281.70, y=287.90
ID: anesteziyoloji_pol_12, x=267.00, y=287.10
ID: beyin_cerrahisi_polikliniği_11, x=228.10, y=285.10
ID: ftr_ve_romatoloji_pol_10, x=211.70, y=286.50
ID: sorumlu_hemşire, x=251.80, y=337.00
ID: ağrı_pol_9, x=211.80, y=353.90
ID: işlevsel_üroloji_pol_6, x=251.00, y=400.20
ID: video_ürodomoloji, x=213.90, y=452.80
ID: üroflowmetri_x2B_rezidü, x=237.00, y=454.50
ID: üroloji_pol_4, x=259.00, y=454.10
ID: üronkoloji_ve_androloji_pol_2, x=280.40, y=452.80
ID: göğüs_cerrahisi_pol_1, x=316.60, y=387.20
ID: kemoterapi_ilaç_kabul, x=179.80, y=243.10
ID: dermatoloji_anabilim_dalı_dershanesi, x=220.50, y=202.10
ID: eletrokoterizasyon_odası, x=305.50, y=171.20
ID: kardiyoloji_sekreterlik, x=401.40, y=306.40

Toplam '161' düğüm bulundu. (Kapı: 81, Koridor: 45, Oda: 35)
